Genotype,Age,Time,Observation_within_time,Source_sheet,Source_row,THC_recorded,THC_converted,MOR_converted,MOR_ratio_stored,PHA_recorded,PHA_converted,PHA_ratio_stored,ROS_recorded,MOR_ratio_same_animal,PHA_ratio_same_animal
GD,1-year,48,1,1龄,52,1455.52,294.01504,30.638760000000005,0.1042081384680185,162.29,18.66335,0.0634775350267795,131771.7,0.1042081384680185,0.0634775350267795
GD,1-year,48,2,1龄,53,1331.2,268.90240000000006,31.02228,0.1153663187833206,164.42,18.9083,0.0703165907035414,81665.4,0.1153663187833206,0.0703165907035414
GD,1-year,48,3,1龄,54,932.66,188.39732,32.23608,0.1711068926033555,164.52,18.9198,0.1004249954298712,122678.3,0.1711068926033555,0.1004249954298712
GD,1-year,48,4,1龄,55,1059.42,214.00284000000005,31.16916,0.1456483474705288,176.15,20.25725,0.0946587905095091,111324.7,0.1456483474705288,0.0946587905095091
GD,1-year,48,5,1龄,56,1320.7,266.7814,31.24668,0.1171246571162757,143.67,16.52205,0.0619310416693217,115375.0,0.1171246571162757,0.0619310416693217
GG,1-year,96,1,1龄,61,637.88,128.85175999999998,32.631840000000004,0.2532510227256501,76.83,8.835449999999998,0.0685706582510009,299904.8,0.2532510227256501,0.0685706582510009
GG,1-year,96,2,1龄,62,615.6,124.3512,36.2916,0.2918476058132129,40.62,4.6713,0.037565379344952,267341.1,0.2918476058132129,0.037565379344952
GG,1-year,96,3,1龄,63,638.82,129.04164,37.39524,0.2897920392208282,35.16,4.043399999999999,0.0313340716996467,244194.6,0.2897920392208282,0.0313340716996467
GG,1-year,96,4,1龄,64,683.14,137.99428,38.027640000000005,0.2755740310395475,45.65,5.24975,0.0380432435315434,218810.3,0.2755740310395475,0.0380432435315434
GG,1-year,96,5,1龄,65,633.35,127.9367,36.62412,0.2862675057274417,13.91,1.59965,0.012503448971249,239547.5,0.2862675057274417,0.012503448971249
DD,1-year,96,1,1龄,66,645.58,130.40716,4.70016,0.0360421927753046,50.18,5.770699999999999,0.0442514046007903,164638.4,0.0360421927753046,0.0442514046007903
DD,1-year,96,2,1龄,67,570.54,115.24908,6.26484,0.0543591324112956,47.63,5.477449999999999,0.0475270605197021,169690.3,0.0543591324112956,0.0475270605197021
DD,1-year,96,3,1龄,68,597.82,120.75964000000002,4.824599999999999,0.0399520899532327,49.25,5.663749999999999,0.046901017591639,205677.3,0.0399520899532327,0.046901017591639
DD,1-year,96,4,1龄,69,626.11,126.47422000000002,5.82216,0.0460343617853504,39.83,4.58045,0.0362164716256008,211236.5,0.0460343617853504,0.0362164716256008
DD,1-year,96,5,1龄,70,615.3,124.2906,5.48148,0.0441021283990905,29.32,3.3718,0.0271283588622148,202955.5,0.0441021283990905,0.0271283588622148
GD,1-year,96,1,1龄,71,1066.47,215.42694,6.417839999999999,0.0297912600903118,63.39,7.28985,0.0338390825214339,109103.9,0.0297912600903118,0.0338390825214339
GD,1-year,96,2,1龄,72,1595.24,322.23848000000004,5.90784,0.0183337508295098,63.06,7.251899999999998,0.0225047610701242,115009.1,0.0183337508295098,0.0225047610701242
GD,1-year,96,3,1龄,73,1668.22,336.98044,5.8792800000000005,0.0174469473658471,77.7,8.9355,0.0265163758466218,112044.8,0.0174469473658471,0.0265163758466218
GD,1-year,96,4,1龄,74,1657.4,334.79480000000007,5.852760000000001,0.0174816335259687,57.27,6.58605,0.0196719005193629,121353.7,0.0174816335259687,0.0196719005193629
GD,1-year,96,5,1龄,75,1384.39,279.64678000000004,8.20284,0.0293328605464364,60.24,6.9276,0.0247726793063735,111829.4,0.0293328605464364,0.0247726793063735
GG,1-year,168,1,1龄,80,309.03,62.42406,9.30852,0.1491175037317342,52.34,6.0191,0.0964227575072816,83852.1,0.1491175037317342,0.0964227575072816
GG,1-year,168,2,1龄,81,269.56,54.45112000000001,14.4228,0.2648760943760201,60.14,6.9161,0.1270148345892609,72599.7,0.2648760943760201,0.1270148345892609
