Genotype,Age,Time,measure,unit,n,mean,sd,SEM
GD,2-year,168,PHA,percent,5,4.050759462974357,0.6780585605808701,0.3032370068368969
GD,2-year,168,ROS,fluorescence arbitrary units,5,78242.24,11205.522676252102,5011.262085503014
GD,2-year,168,THC,fold of genotype-age baseline mean,5,2.0147778734532467,0.2001682017573838,0.0895179412126806
GG,1-year,0,MOR,percent,5,1.707240097792074,0.6431252150038801,0.2876143397585687
GG,1-year,0,PHA,percent,5,4.910751520842898,1.349429748963524,0.6034833299085831
GG,1-year,0,ROS,fluorescence arbitrary units,5,61354.26,7569.1585710037825,3385.030619447925
GG,1-year,0,THC,fold of genotype-age baseline mean,5,1.0,0.2276619410785448,0.1018135152282356
GG,1-year,24,MOR,percent,5,7.593477669526398,1.4958890184229905,0.6689819063978483
GG,1-year,24,PHA,percent,5,7.615663895681467,1.930242166994192,0.8632305396871027
GG,1-year,24,ROS,fluorescence arbitrary units,5,137781.34,19831.47852211227,8868.90681395402
GG,1-year,24,THC,fold of genotype-age baseline mean,5,0.3632078089661584,0.0504908583649172,0.0225801983092537
GG,1-year,48,MOR,percent,5,33.941308031739204,2.195637544082142,0.981918960503672
GG,1-year,48,PHA,percent,5,19.10927558269444,2.643908145270102,1.1823916678178674
GG,1-year,48,ROS,fluorescence arbitrary units,5,112871.38,7971.935969198453,3565.158147880682
GG,1-year,48,THC,fold of genotype-age baseline mean,5,0.2551182167584743,0.0232539319030581,0.0103994744958778
GG,1-year,96,MOR,percent,5,27.93464409053361,1.5878387139934231,0.7101030603590281
GG,1-year,96,PHA,percent,5,3.76033603596784,2.017720254682302,0.9023519298095632
GG,1-year,96,ROS,fluorescence arbitrary units,5,253959.66,30937.691765757158,13835.756371033698
GG,1-year,96,THC,fold of genotype-age baseline mean,5,0.5565327940503115,0.0216412812630947,0.0096782752048944
GG,1-year,168,MOR,percent,5,17.426119011764815,6.092915186908649,2.724834507813715
GG,1-year,168,PHA,percent,4,5.8442608864486605,6.278275488754522,3.139137744377261
GG,1-year,168,ROS,fluorescence arbitrary units,5,77746.12,8125.267129270275,3633.729927278581
GG,1-year,168,THC,fold of genotype-age baseline mean,5,0.2606388145023657,0.0327235088375914,0.0146343980446339
GG,2-year,0,MOR,percent,5,1.977131395005092,0.4036183611188308,0.1805036184857527
GG,2-year,0,PHA,percent,5,4.407114883827639,1.2585085248797474,0.5628221223788201
GG,2-year,0,ROS,fluorescence arbitrary units,5,48287.86,5141.826285766569,2299.494620693861
GG,2-year,0,THC,fold of genotype-age baseline mean,5,1.0,0.1095721536275451,0.0490021567904482
GG,2-year,24,MOR,percent,5,6.5173305209329895,1.1318819659191917,0.5061930036602825
GG,2-year,24,PHA,percent,5,7.61484565788398,1.9337304309674972,0.8647905387606577
GG,2-year,24,ROS,fluorescence arbitrary units,5,72263.12000000001,20000.448634643173,8944.472545510998
GG,2-year,24,THC,fold of genotype-age baseline mean,5,0.3033481429217149,0.0391738808759306,0.0175190921162119
GG,2-year,48,MOR,percent,5,2.586511067118554,0.975862247413891,0.4364188643786357
GG,2-year,48,PHA,percent,5,6.021300010028005,2.395309735766446,1.0712150792681665
GG,2-year,48,ROS,fluorescence arbitrary units,5,44628.0,2343.2718077508653,1047.9430103779507
GG,2-year,48,THC,fold of genotype-age baseline mean,5,0.8936664204526663,0.1650708037503102,0.0738219076572442
GG,2-year,96,MOR,percent,5,7.910861509745777,1.3423785942928417,0.6003299576758809
GG,2-year,96,PHA,percent,5,7.507596253036786,1.395873312460336,0.6242535229278231
GG,2-year,96,ROS,fluorescence arbitrary units,5,60328.22,1875.4672036588647,838.7344313905329
GG,2-year,96,THC,fold of genotype-age baseline mean,5,0.9280408347757064,0.0821322149936552,0.0367306431736881
GG,2-year,168,MOR,percent,5,4.286870908893165,0.4634993684708586,0.2072832190858125
GG,2-year,168,PHA,percent,5,7.474025671312122,0.230419341282398,0.1030466620876331
GG,2-year,168,ROS,fluorescence arbitrary units,5,106761.16,2262.980144190404,1012.0354868284036
GG,2-year,168,THC,fold of genotype-age baseline mean,5,2.3949816441950458,0.1167730290942995,0.0522224861986829
