gene_base,age,DD,GD,GG,delta_delta_DUI,hybrid_deviation_direction
PB.1036_6,1-year,-0.018100139873721166,0.2781283950191864,-0.02580752580752599,0.30008222785981,Positive hybrid deviation
PB.1036_6,2-year,-0.31545150957515045,-0.24368143272252862,0.014814814814814614,-0.09336308534236071,Negative hybrid deviation
PB.1049_0,1-year,-0.055184118535905324,-0.28109614399936966,-0.23488733488733504,-0.13606041728774948,Negative hybrid deviation
PB.1049_0,2-year,-0.22533818792106297,-0.05073274140694661,0.019562090406080368,0.05215530735054469,Positive hybrid deviation
PB.1050_0,1-year,0.0053288543452912895,0.0660953336477792,-0.007388286774323682,0.0671250498622954,Positive hybrid deviation
PB.1050_0,2-year,0.13350874274833713,0.02171474582594901,-0.04080320331072562,-0.024638023892856742,Negative hybrid deviation
PB.1052_0,1-year,-0.0039031725027537335,0.005853616108834765,0.012751726046222676,0.0014293393371002938,Positive hybrid deviation
PB.1052_0,2-year,0.07927015340886567,-0.06414755778590342,0.030883839921179,-0.11922455445092575,Negative hybrid deviation
PB.1054_0,1-year,-0.020703286818350652,0.01145453308302502,0.09327551775143705,-0.02483158238351818,Negative hybrid deviation
PB.1054_0,2-year,0.03165852390421309,0.0348585656185173,-0.03429392091788663,0.036176264125354074,Positive hybrid deviation
PB.1064_0,1-year,-0.07545136936324925,0.05722653683239565,-0.09520999014427498,0.14255721658615778,Positive hybrid deviation
PB.1064_0,2-year,0.07961177767716365,0.08037996206486664,-0.1280392267570617,0.10459368660481566,Positive hybrid deviation
PB.1066_0,1-year,0,0,-0.015169544300686177,0.007584772150343089,Positive hybrid deviation
PB.1066_0,2-year,0,-0.01700060716454166,-0.04392689005774297,0.004962837864329828,Positive hybrid deviation
PB.1069_0,1-year,-0.46599639651247876,0.13831499580140266,0.01970124260454447,0.3614625727553698,Positive hybrid deviation
PB.1069_0,2-year,-0.3383347795953461,0.01851698153989767,0.015386647380987165,0.17999104764707713,Positive hybrid deviation
PB.1073_0,1-year,-0.11344247448137235,0.0643015942731151,0,0.12102283151380128,Positive hybrid deviation
PB.1073_0,2-year,-0.07593841345390262,-0.04450307841634393,-0.001183081928423646,-0.0059423307251808,Negative hybrid deviation
PB.1077_0,1-year,0.0010224948875255935,-0.008267553486505042,0.0095676478386291,-0.01356262484958239,Negative hybrid deviation
PB.1077_0,2-year,-0.06297795771479997,0.05002515708586264,-8.296424801597022e-05,0.0815556180672706,Positive hybrid deviation
PB.1079_0,1-year,-0.004784808106453098,0.020232144902010862,0.08188201213753299,-0.018316457113529083,Negative hybrid deviation
PB.1079_0,2-year,-0.020119811598815374,0.03900837192232598,-0.03962841809574069,0.06888248676960401,Positive hybrid deviation
PB.1081_0,1-year,-0.03907294243519936,-0.022589053488890953,0.002313983822684329,-0.004209574182633437,Negative hybrid deviation
PB.1081_0,2-year,-0.009410568415808396,-0.13012022142366741,-0.0023210827752158103,-0.12425439582815531,Negative hybrid deviation
PB.1087_0,1-year,-0.05797159170413663,-0.021227008816508325,0.03762120191219942,-0.011051813920539721,Negative hybrid deviation
PB.1087_0,2-year,0.019749804707753338,0.0817442955818807,-0.2462708012476174,0.19500479385181274,Positive hybrid deviation
PB.1091_0,1-year,-0.03696049000541832,0.015056973878174368,0.27964673208740937,-0.10628614716282116,Negative hybrid deviation
PB.1091_0,2-year,-0.08776988974006744,0.07245823196134094,0.020769828207283236,0.10595826272773304,Positive hybrid deviation
PB.1106_0,1-year,-0.09166274498929827,-0.028692301486809346,0.014649322515643728,0.009814409750017926,Positive hybrid deviation
PB.1106_0,2-year,-0.10414609291865112,0.10363592026435495,0.05429587915115688,0.12856102714810208,Positive hybrid deviation
PB.1108_0,1-year,0.24875227016225848,-0.08144835926648003,-0.05725665951489971,-0.1771961645901594,Negative hybrid deviation
PB.1108_0,2-year,-0.023876034007378366,0.016095668839304383,0.029278664449516684,0.013394353618235225,Positive hybrid deviation
PB.1113_0,1-year,-0.023911203298780603,0.16552094017243368,0.13975914647154664,0.10759696858605067,Positive hybrid deviation
PB.1113_0,2-year,-0.009312705830441192,-0.07198188530375427,-0.0639470499685717,-0.03535200740424782,Negative hybrid deviation
